usage_frequency,subscription_type,login_activity,support_tickets,payment_history,avg_session_minutes,monthly_spend,tenure_months,region,churn
,quarterly,25.28,1,delayed,17.17,81.32,12,APAC,1
24.63,monthly,15.9,3,delayed,2.0,135.35,14,,0
13.82,monthly,,1,,18.77,48.69,26,APAC,0
20.21,monthly,44.52,1,on_time,15.63,61.84,8,APAC,0
17.86,monthly,28.84,3,on_time,15.01,115.16,11,LATAM,0
11.51,quarterly,17.71,0,on_time,22.31,69.51,8,NA,0
24.81,monthly,21.51,0,on_time,13.35,63.05,11,NA,0
20.98,monthly,27.1,1,on_time,18.48,68.28,14,NA,0
12.96,monthly,17.37,2,on_time,8.54,138.09,26,EU,1
23.73,quarterly,16.4,1,on_time,5.89,141.25,21,NA,0
10.18,monthly,21.88,1,failed,11.41,95.47,13,NA,1
15.8,annual,38.71,2,delayed,,80.56,13,LATAM,0
13.0,monthly,30.7,0,on_time,18.29,105.94,18,MEA,1
21.26,quarterly,17.5,4,failed,8.42,94.99,10,LATAM,0
12.64,monthly,,2,on_time,24.04,88.92,8,NA,1
21.31,monthly,22.09,0,on_time,9.21,71.38,18,APAC,0
20.16,monthly,,2,delayed,14.47,66.76,8,NA,0
13.37,quarterly,24.79,1,on_time,15.07,97.89,6,EU,0
28.81,annual,0.0,2,on_time,16.8,79.11,49,EU,0
10.78,monthly,0.0,2,on_time,17.7,125.12,2,MEA,0
6.14,monthly,24.49,7,on_time,28.57,76.75,2,APAC,0
21.99,annual,12.62,2,on_time,11.38,52.29,13,NA,1
1.0,monthly,3.97,1,on_time,16.88,43.09,20,APAC,1
26.44,monthly,,0,on_time,14.5,62.49,12,MEA,0
16.71,monthly,32.17,1,on_time,20.9,43.74,10,NA,1
6.01,quarterly,25.94,3,on_time,17.69,116.13,41,LATAM,0
9.36,quarterly,30.49,1,on_time,16.32,72.1,8,NA,1
4.56,quarterly,26.98,1,delayed,,62.5,14,NA,0
18.68,annual,11.89,1,delayed,12.28,87.69,11,LATAM,1
6.71,monthly,30.54,2,,9.14,138.57,15,NA,0
19.51,monthly,28.44,1,,12.32,72.05,11,APAC,0
13.87,monthly,20.71,1,on_time,10.04,52.25,18,NA,0
12.67,monthly,22.65,0,on_time,11.89,72.92,14,APAC,1
,monthly,,0,on_time,12.53,31.95,10,APAC,0
20.36,monthly,13.76,4,on_time,12.64,98.41,5,LATAM,0
24.02,monthly,33.97,3,delayed,13.23,100.15,1,LATAM,0
11.56,quarterly,28.22,2,failed,9.43,71.7,19,APAC,0
15.79,monthly,22.02,0,on_time,15.22,52.63,6,EU,0
11.55,monthly,,2,on_time,9.59,151.21,14,NA,0
17.14,quarterly,7.76,1,on_time,11.41,49.58,5,APAC,0
10.55,quarterly,16.94,1,on_time,14.7,62.99,23,EU,0
13.03,quarterly,14.5,1,on_time,2.0,84.96,23,NA,0
13.07,quarterly,25.94,2,failed,29.95,108.1,7,MEA,1
18.05,quarterly,35.01,0,delayed,18.15,79.78,21,NA,0
16.02,monthly,11.19,1,failed,16.92,84.99,23,NA,1
19.54,monthly,58.36,0,on_time,11.87,101.14,31,LATAM,1
15.25,quarterly,14.71,3,on_time,15.56,173.76,5,APAC,0
11.94,monthly,,0,on_time,7.74,67.78,10,,0
17.34,monthly,22.03,1,failed,17.94,69.72,13,NA,0
9.58,monthly,,1,on_time,4.9,80.99,11,EU,1
19.98,monthly,13.28,4,on_time,7.39,103.01,34,APAC,0
14.0,monthly,33.74,1,on_time,10.74,154.71,18,NA,0
17.43,monthly,12.61,3,delayed,24.06,80.9,6,APAC,1
17.54,annual,2.54,1,delayed,8.39,89.58,41,NA,0
27.21,annual,9.66,1,delayed,17.0,21.19,20,NA,0
18.67,monthly,37.9,2,on_time,2.62,85.81,10,NA,0
16.51,annual,35.76,0,delayed,15.15,75.24,3,NA,0
11.15,monthly,0.0,4,on_time,25.41,112.54,11,NA,0
21.62,annual,30.95,3,on_time,18.0,62.56,30,APAC,0
14.11,annual,0.2,1,on_time,2.56,44.8,13,,0
5.32,monthly,21.7,3,on_time,15.26,90.43,11,NA,0
14.63,quarterly,8.71,0,on_time,12.22,40.35,18,APAC,0
17.34,annual,31.8,2,failed,22.36,55.35,12,NA,0
10.27,annual,28.1,0,on_time,14.4,76.99,21,EU,0
15.17,annual,32.78,1,on_time,6.36,15.2,24,LATAM,1
15.5,monthly,18.75,1,delayed,14.18,76.84,7,APAC,0
15.61,monthly,19.9,0,on_time,10.82,128.25,27,APAC,1
,annual,5.51,2,on_time,2.04,35.0,7,NA,0
6.82,quarterly,,1,on_time,13.95,64.86,15,NA,0
30.24,quarterly,32.43,1,on_time,15.03,100.48,35,APAC,0
15.77,monthly,26.04,1,on_time,17.29,106.83,14,,0
20.06,monthly,23.15,2,delayed,21.11,85.62,3,APAC,0
16.89,monthly,35.88,3,on_time,13.32,78.78,16,MEA,0
3.92,quarterly,7.7,1,on_time,5.99,130.3,22,NA,1
8.6,monthly,29.92,1,on_time,9.98,89.96,22,LATAM,0
12.33,quarterly,9.03,3,on_time,14.89,54.38,27,APAC,1
22.96,annual,38.26,0,on_time,22.29,78.63,15,NA,0
6.31,monthly,,0,failed,15.02,80.22,24,NA,0
10.01,monthly,32.61,1,on_time,14.21,71.72,6,APAC,0
17.15,monthly,14.28,1,delayed,13.58,36.93,21,NA,0
19.31,annual,46.0,1,on_time,14.95,75.42,10,APAC,0
19.1,quarterly,43.98,1,delayed,26.46,100.31,31,APAC,0
9.11,monthly,26.73,2,on_time,14.49,105.01,15,EU,0
4.81,monthly,34.93,3,on_time,13.42,84.31,11,EU,1
19.77,monthly,,0,,15.23,85.0,24,APAC,1
26.03,monthly,8.05,2,on_time,10.94,68.32,14,EU,1
13.58,annual,30.75,1,failed,5.63,99.99,3,LATAM,1
7.99,quarterly,11.89,3,,4.56,50.71,6,NA,1
12.99,monthly,36.41,1,on_time,10.64,69.41,45,MEA,0
18.76,annual,33.53,2,on_time,22.09,55.29,18,NA,0
14.37,monthly,24.59,1,on_time,,80.87,16,NA,0
25.85,annual,23.97,1,on_time,8.3,108.68,12,APAC,1
22.47,monthly,32.88,2,delayed,14.05,50.74,17,NA,1
17.29,quarterly,,0,on_time,15.79,91.82,19,NA,0
2.32,annual,17.55,0,delayed,10.65,83.2,4,NA,0
11.15,monthly,5.34,3,on_time,22.85,57.01,10,,0
12.16,quarterly,32.55,3,chargeback,19.57,78.61,7,APAC,1
10.77,annual,26.03,3,,17.17,53.0,4,,0
17.34,monthly,52.31,3,on_time,15.41,86.82,2,EU,0
17.48,monthly,20.94,1,failed,5.62,80.69,48,NA,1
4.28,quarterly,,4,on_time,23.14,126.13,62,MEA,0
,monthly,25.58,1,on_time,18.48,62.57,47,NA,0
16.11,monthly,29.16,2,on_time,17.46,79.18,24,APAC,0
18.5,monthly,11.36,1,on_time,10.57,73.54,16,EU,1
21.21,quarterly,21.15,3,failed,11.09,121.99,9,APAC,0
10.63,monthly,31.1,3,delayed,17.97,70.21,11,MEA,0
24.81,monthly,18.34,2,on_time,21.61,59.05,5,,0
15.01,annual,30.69,0,chargeback,25.35,56.05,13,APAC,0
26.59,monthly,23.06,2,on_time,10.59,61.81,3,EU,0
9.74,annual,26.42,2,failed,14.05,60.95,15,APAC,0
26.07,monthly,34.66,0,on_time,2.43,60.04,5,EU,0
9.67,annual,19.5,1,on_time,2.0,75.99,25,NA,0
33.84,quarterly,6.03,0,on_time,18.15,47.64,10,NA,0
9.34,monthly,19.07,2,on_time,9.88,100.14,30,NA,0
23.4,annual,12.92,1,delayed,3.16,76.64,30,MEA,0
13.46,monthly,0.0,5,on_time,8.02,129.41,20,APAC,0
21.01,monthly,20.83,0,on_time,17.06,97.07,33,NA,0
15.72,monthly,24.19,3,delayed,17.3,94.25,15,EU,0
8.36,quarterly,33.23,2,on_time,5.18,140.27,29,APAC,0
,monthly,9.47,2,on_time,22.42,96.16,18,EU,0
33.55,monthly,22.97,4,delayed,10.83,77.99,30,EU,0
16.51,monthly,34.41,1,failed,16.65,59.66,16,APAC,1
1.0,monthly,15.68,3,on_time,15.23,124.68,28,NA,0
18.12,monthly,,2,chargeback,14.93,55.77,27,EU,1
20.83,monthly,39.57,1,delayed,9.38,52.09,16,NA,1
10.99,monthly,1.51,3,on_time,14.85,52.22,7,NA,0
11.04,monthly,25.0,4,on_time,16.62,62.93,28,APAC,0
15.86,quarterly,34.79,3,delayed,13.8,85.22,16,APAC,0
24.42,monthly,18.14,0,delayed,15.61,76.66,29,MEA,0
16.7,quarterly,37.25,1,on_time,21.61,98.71,9,NA,0
26.24,monthly,28.98,2,chargeback,,53.48,3,APAC,1
23.92,monthly,41.46,1,failed,18.92,59.59,2,MEA,0
14.4,monthly,28.41,1,on_time,13.74,88.3,7,APAC,1
5.01,monthly,42.38,0,delayed,23.55,57.0,29,MEA,0
14.41,monthly,25.3,3,on_time,6.56,45.86,10,,0
19.69,quarterly,6.95,4,delayed,22.82,41.16,20,LATAM,0
16.42,monthly,15.06,1,delayed,11.81,82.64,19,MEA,0
20.44,monthly,33.2,2,on_time,27.67,82.07,2,APAC,1
22.04,quarterly,32.99,3,on_time,17.61,80.75,21,EU,0
19.72,monthly,18.58,0,on_time,20.1,118.07,20,LATAM,0
14.07,monthly,41.85,2,failed,14.03,92.46,7,LATAM,0
19.64,monthly,18.11,1,on_time,19.08,84.01,17,NA,0
31.65,monthly,27.08,1,failed,19.08,121.74,33,NA,1
5.57,monthly,26.78,1,on_time,14.15,111.3,14,NA,0
19.41,quarterly,7.36,3,on_time,19.59,63.56,25,LATAM,0
28.82,annual,20.78,1,failed,2.0,96.63,12,NA,1
7.78,monthly,48.18,1,on_time,11.14,133.64,46,NA,0
23.01,quarterly,11.86,1,on_time,15.13,133.75,6,EU,0
,quarterly,28.88,3,,18.01,111.35,16,NA,0
5.66,monthly,9.3,3,on_time,20.83,94.86,4,MEA,0
20.99,quarterly,11.74,0,on_time,13.48,92.13,19,EU,1
14.1,quarterly,6.44,1,on_time,12.66,124.8,2,NA,0
15.58,annual,32.35,2,on_time,20.23,41.89,13,NA,0
13.73,annual,12.41,1,on_time,21.91,107.54,37,APAC,0
25.19,monthly,35.94,2,on_time,19.44,87.65,25,,0
15.22,monthly,16.16,1,on_time,14.08,58.16,4,,0
12.76,monthly,23.41,1,on_time,30.29,50.9,31,NA,0
12.88,monthly,26.53,1,chargeback,15.48,36.24,13,LATAM,1
13.61,monthly,4.21,3,on_time,16.3,99.81,12,,1
8.44,annual,24.24,2,on_time,24.8,124.05,11,APAC,0
12.7,monthly,25.85,3,on_time,24.17,70.02,10,EU,0
16.82,monthly,34.54,1,failed,19.25,60.09,6,MEA,1
18.83,annual,11.45,2,delayed,9.59,106.05,10,APAC,0
24.43,monthly,13.01,3,,15.68,87.18,13,EU,1
17.69,monthly,29.26,1,failed,18.1,119.12,2,MEA,1
12.68,annual,37.54,2,,26.71,51.01,8,LATAM,0
,monthly,15.48,2,chargeback,32.7,102.27,22,APAC,0
18.06,monthly,8.41,3,on_time,11.41,134.83,13,APAC,0
15.18,monthly,18.52,1,delayed,20.12,54.6,25,EU,0
15.41,annual,10.85,3,,10.11,67.52,3,EU,1
17.84,monthly,26.38,2,failed,14.25,73.88,3,NA,0
,monthly,10.12,0,on_time,9.8,104.99,16,APAC,0
17.89,monthly,32.7,5,delayed,25.02,119.3,7,EU,1
,monthly,24.34,1,on_time,,64.91,8,NA,1
10.39,annual,33.05,2,on_time,,138.55,10,MEA,0
11.71,monthly,0.0,0,on_time,15.3,85.58,8,NA,0
21.94,annual,,1,on_time,17.26,61.3,11,LATAM,0
13.03,monthly,36.22,3,delayed,17.46,123.97,18,NA,0
6.58,monthly,14.09,3,on_time,,87.92,60,NA,0
24.12,annual,5.87,1,on_time,4.87,66.12,8,NA,0
9.4,monthly,19.77,1,on_time,7.04,68.81,29,EU,0
16.25,monthly,24.67,3,on_time,5.34,142.86,1,,0
19.44,annual,20.26,4,delayed,16.17,50.55,12,NA,1
16.02,monthly,27.15,1,delayed,,115.52,14,APAC,0
1.0,monthly,25.66,1,on_time,20.88,61.27,8,EU,1
18.73,annual,25.08,1,delayed,16.44,59.91,11,NA,0
25.29,monthly,36.83,1,delayed,3.99,81.71,13,NA,0
21.51,monthly,21.84,0,,12.54,97.03,6,NA,1
1.13,monthly,21.52,5,on_time,2.26,37.95,17,NA,1
30.89,monthly,30.83,2,,8.13,68.76,16,NA,1
6.72,monthly,28.08,1,on_time,12.06,112.81,12,APAC,0
8.45,quarterly,12.07,2,on_time,9.33,112.69,11,,0
21.47,monthly,20.99,4,on_time,26.31,75.87,22,LATAM,0
19.17,quarterly,26.82,3,on_time,19.49,51.09,20,APAC,0
16.56,monthly,15.54,1,on_time,13.03,90.03,8,EU,0
,monthly,,3,on_time,23.56,107.34,29,NA,1
25.32,monthly,6.69,2,delayed,9.15,89.08,16,,0
15.72,quarterly,0.0,1,on_time,13.01,123.35,11,APAC,0
5.04,monthly,17.89,1,on_time,20.12,76.45,30,NA,0
24.63,monthly,,2,on_time,8.31,47.1,3,NA,0
17.53,annual,9.95,1,on_time,19.11,60.61,8,MEA,0
23.81,monthly,37.16,1,on_time,16.76,84.04,31,NA,0
20.01,monthly,10.49,2,on_time,18.53,64.3,17,NA,1
32.74,annual,32.04,0,on_time,25.78,62.51,18,MEA,0
13.83,monthly,26.61,2,on_time,17.73,110.93,13,NA,0
16.11,monthly,45.94,4,on_time,15.76,61.25,7,,0
21.04,monthly,27.94,1,on_time,6.02,46.67,12,NA,0
13.87,monthly,,0,on_time,16.26,106.68,21,EU,1
21.62,monthly,33.6,1,chargeback,,102.07,12,MEA,0
1.0,quarterly,40.67,5,on_time,14.26,54.96,21,APAC,0
15.49,monthly,2.51,1,on_time,12.16,103.81,17,EU,0
15.28,quarterly,29.03,0,on_time,17.95,52.34,7,NA,0
15.03,annual,31.46,1,delayed,9.06,57.37,17,EU,0
9.86,quarterly,19.66,0,delayed,16.27,53.08,23,APAC,1
22.34,quarterly,0.0,6,delayed,8.75,71.16,6,NA,0
12.47,quarterly,18.74,0,on_time,4.21,99.79,10,NA,0
17.4,annual,,0,on_time,12.95,82.4,12,APAC,0
15.74,monthly,38.83,1,delayed,17.78,61.22,16,LATAM,1
19.5,monthly,21.03,3,on_time,10.34,89.3,39,LATAM,1
26.02,monthly,17.46,1,chargeback,15.82,94.7,7,LATAM,1
17.37,monthly,,2,on_time,12.82,110.75,11,EU,0
21.89,monthly,25.58,3,on_time,8.79,94.06,8,APAC,1
17.01,quarterly,22.63,3,on_time,18.34,104.66,3,MEA,0
12.46,monthly,13.31,2,,11.09,85.81,20,NA,0
,annual,24.9,2,delayed,17.25,55.07,38,EU,0
14.02,monthly,15.87,4,on_time,,88.53,21,NA,0
19.98,monthly,0.0,2,on_time,15.82,118.04,6,MEA,1
16.75,monthly,29.35,1,on_time,18.74,119.5,6,MEA,1
10.44,monthly,28.31,2,delayed,17.11,11.72,11,LATAM,1
14.45,monthly,24.2,1,on_time,20.36,101.61,8,NA,1
5.32,monthly,17.13,0,failed,18.87,70.16,7,MEA,1
14.71,monthly,21.21,0,failed,16.8,95.22,25,NA,1
16.01,monthly,31.01,1,on_time,,45.75,26,NA,0
28.66,monthly,15.05,4,delayed,12.76,71.96,10,APAC,1
25.44,monthly,31.46,1,,18.13,39.08,25,APAC,0
8.76,monthly,5.78,1,on_time,15.13,71.89,25,LATAM,0
17.41,monthly,23.85,0,,26.1,101.01,6,NA,1
17.54,monthly,22.28,1,on_time,16.64,96.46,13,EU,0
14.39,monthly,33.03,1,on_time,7.29,144.09,4,EU,1
14.83,monthly,11.89,0,on_time,16.52,69.58,7,NA,0
13.52,quarterly,13.09,1,delayed,9.29,59.41,30,LATAM,0
29.11,annual,6.66,1,on_time,19.37,110.53,37,NA,0
13.09,annual,15.77,3,on_time,19.48,32.35,17,NA,1
18.39,monthly,24.81,1,on_time,11.35,89.41,25,EU,0
1.0,monthly,2.22,3,delayed,8.77,98.08,9,APAC,1
21.76,monthly,17.13,5,on_time,15.8,19.31,8,LATAM,1
24.29,quarterly,28.72,3,on_time,9.58,53.47,19,NA,0
8.64,quarterly,20.87,1,on_time,9.97,45.77,11,NA,0
12.42,annual,22.83,2,on_time,11.96,96.6,2,MEA,0
19.16,annual,5.43,2,on_time,18.75,59.41,11,APAC,0
16.14,monthly,20.9,3,failed,6.1,76.71,28,EU,1
19.26,quarterly,22.32,2,on_time,10.47,38.82,13,NA,0
13.99,quarterly,20.2,2,delayed,29.39,61.32,26,MEA,0
29.04,monthly,23.68,1,on_time,26.72,61.88,3,APAC,0
11.31,annual,18.6,3,delayed,22.26,70.1,13,NA,0
34.84,monthly,16.98,1,on_time,,75.43,10,NA,0
24.69,annual,10.56,0,on_time,19.51,112.65,4,NA,0
21.82,quarterly,32.72,2,on_time,12.69,103.37,13,NA,0
8.72,monthly,8.51,1,on_time,2.0,34.26,11,NA,1
22.37,quarterly,23.74,3,on_time,11.58,112.49,33,NA,0
20.23,monthly,41.95,3,on_time,12.16,108.64,29,NA,0
1.16,quarterly,34.12,3,on_time,15.17,85.91,11,EU,0
6.17,quarterly,27.6,4,chargeback,17.9,111.6,12,EU,0
18.5,quarterly,24.75,3,on_time,24.91,117.67,8,EU,0
15.07,annual,20.59,0,failed,15.19,63.36,5,LATAM,1
,monthly,12.09,2,on_time,8.98,49.85,15,NA,0
,monthly,19.21,3,,13.82,99.82,2,LATAM,1
9.81,monthly,28.32,1,on_time,18.86,61.17,9,LATAM,0
12.81,monthly,26.29,0,on_time,14.33,91.4,5,MEA,0
11.47,monthly,30.68,1,on_time,10.18,54.94,18,NA,1
19.57,monthly,35.42,1,delayed,18.15,111.27,23,NA,0
3.96,monthly,20.26,2,delayed,8.14,62.74,12,APAC,0
12.52,monthly,24.11,3,on_time,9.73,78.09,11,NA,1
3.94,annual,1.11,1,on_time,17.5,68.67,25,NA,1
13.81,monthly,46.82,1,on_time,10.29,44.34,8,NA,0
21.06,annual,17.45,0,on_time,12.88,102.8,24,APAC,0
21.19,monthly,29.17,1,on_time,15.1,119.98,17,LATAM,1
10.91,monthly,17.44,2,on_time,14.75,79.98,13,NA,0
19.73,monthly,17.18,3,on_time,9.19,62.73,32,MEA,0
14.7,monthly,19.39,0,on_time,16.97,77.45,24,APAC,0
25.53,monthly,8.3,3,delayed,9.49,69.83,4,NA,0
15.09,monthly,0.0,1,on_time,24.9,83.36,10,EU,0
1.0,monthly,34.76,1,on_time,12.59,75.27,5,NA,1
22.26,monthly,28.0,0,failed,18.65,58.6,11,LATAM,0
12.79,monthly,11.93,0,chargeback,19.4,115.68,27,APAC,0
14.08,monthly,,2,on_time,12.87,78.01,22,APAC,0
18.35,annual,31.06,0,on_time,9.2,124.28,4,APAC,0
6.03,monthly,14.38,0,delayed,,86.92,8,NA,0
16.52,annual,26.53,1,on_time,6.46,65.4,10,MEA,0
19.74,quarterly,33.07,1,on_time,7.38,76.1,16,MEA,0
18.55,annual,6.18,4,on_time,18.64,66.35,18,APAC,0
11.81,annual,27.87,0,on_time,13.8,72.93,2,EU,0
22.94,monthly,26.01,1,chargeback,10.76,90.27,28,NA,0
9.02,monthly,42.68,1,delayed,12.01,52.59,10,,0
11.62,monthly,28.13,3,,,55.4,26,,0
15.05,quarterly,17.48,2,delayed,28.09,105.84,4,APAC,0
18.07,quarterly,18.75,0,on_time,21.11,98.35,3,APAC,1
13.73,monthly,,2,,10.05,39.9,17,MEA,0
24.6,annual,,1,on_time,13.12,88.77,9,NA,0
18.07,monthly,28.45,2,on_time,18.58,107.53,11,NA,0
16.53,monthly,19.38,1,on_time,9.15,91.07,11,NA,0
17.82,quarterly,33.89,2,on_time,11.65,37.69,16,MEA,0
21.13,monthly,34.44,1,,13.21,46.56,15,APAC,0
17.69,quarterly,21.75,0,on_time,,82.68,20,EU,0
3.33,quarterly,17.53,2,on_time,21.58,136.71,31,APAC,0
23.63,monthly,17.26,4,on_time,10.71,68.93,45,APAC,0
16.84,monthly,3.0,1,on_time,14.3,100.95,26,NA,0
20.79,monthly,23.11,2,on_time,15.7,65.97,22,NA,0
13.16,quarterly,,1,on_time,24.52,131.6,13,NA,0
3.21,monthly,13.02,1,,14.48,85.16,1,NA,0
1.0,annual,1.82,3,failed,27.82,45.04,9,APAC,1
9.39,annual,24.27,0,on_time,12.82,55.05,17,,0
19.62,monthly,25.66,1,on_time,,58.9,3,APAC,1
25.09,monthly,26.34,1,on_time,20.62,87.26,19,APAC,1
18.11,quarterly,11.11,1,delayed,26.52,64.5,4,EU,0
8.63,quarterly,26.36,0,on_time,13.41,70.13,8,MEA,1
10.51,monthly,20.04,2,on_time,22.42,138.5,10,NA,1
25.53,monthly,31.51,3,,20.08,67.58,6,APAC,1
6.82,monthly,11.28,1,delayed,10.44,88.94,8,NA,0
30.71,annual,34.65,0,failed,14.89,68.72,18,APAC,0
29.13,monthly,38.61,1,on_time,14.76,82.62,20,EU,0
30.94,annual,23.28,0,on_time,8.81,92.4,21,NA,0
18.66,monthly,26.44,1,on_time,15.99,22.45,20,NA,0
13.61,annual,30.62,2,on_time,15.48,79.39,25,APAC,0
18.49,monthly,10.72,5,delayed,17.25,73.47,25,APAC,0
22.36,monthly,16.65,4,chargeback,15.42,88.91,28,APAC,1
,annual,24.03,2,chargeback,11.0,70.47,18,EU,1
8.29,annual,44.3,1,delayed,29.68,70.7,26,APAC,0
14.01,monthly,8.84,2,on_time,16.3,92.28,36,,0
10.59,monthly,40.01,2,chargeback,22.8,68.59,5,NA,1
24.69,monthly,19.87,1,on_time,17.63,139.08,21,EU,1
11.68,monthly,21.62,0,on_time,24.04,57.06,4,EU,0
16.67,monthly,35.4,2,delayed,10.34,124.3,16,LATAM,0
22.88,annual,44.24,0,on_time,14.47,44.32,7,EU,0
24.96,monthly,26.65,0,delayed,12.31,76.62,26,EU,0
17.46,quarterly,34.81,2,chargeback,11.57,92.7,19,,1
,monthly,11.88,0,delayed,16.61,57.88,22,LATAM,0
8.88,monthly,16.18,3,delayed,13.52,55.95,10,NA,0
23.16,quarterly,7.12,1,on_time,6.44,76.14,33,LATAM,1
24.84,monthly,16.33,2,on_time,13.18,109.08,12,NA,1
2.91,quarterly,28.22,0,delayed,12.68,86.29,7,LATAM,1
28.34,monthly,24.33,1,on_time,20.28,137.05,10,NA,0
11.1,annual,41.0,0,failed,6.32,89.83,7,EU,0
20.16,quarterly,44.6,0,on_time,,71.2,9,MEA,0
16.54,annual,20.5,0,on_time,10.5,9.0,11,NA,0
15.58,monthly,14.52,0,on_time,19.47,40.58,31,LATAM,0
14.55,monthly,34.76,0,delayed,11.73,76.57,4,EU,0
9.05,monthly,35.91,3,delayed,21.28,40.18,9,NA,0
19.67,monthly,26.85,3,failed,14.72,78.61,21,MEA,1
14.0,monthly,29.76,0,on_time,17.94,90.25,14,EU,0
6.83,monthly,28.04,1,on_time,21.63,75.81,21,LATAM,1
8.75,monthly,11.12,0,on_time,7.79,76.4,38,LATAM,1
6.95,monthly,,1,on_time,13.52,138.81,13,NA,1
12.33,monthly,21.44,0,on_time,17.53,85.84,6,NA,1
19.4,monthly,19.79,2,on_time,16.19,80.14,13,NA,0
11.02,monthly,25.05,2,on_time,7.22,56.16,10,EU,0
22.83,quarterly,20.56,0,on_time,19.18,83.91,10,NA,0
15.17,monthly,3.26,1,on_time,15.29,70.6,7,EU,0
13.97,monthly,0.0,2,delayed,15.77,134.45,28,LATAM,1
16.12,monthly,30.11,1,on_time,13.67,99.94,4,NA,0
25.77,quarterly,14.71,2,on_time,2.0,123.77,24,APAC,0
6.4,monthly,19.45,3,delayed,18.27,89.84,21,EU,1
27.59,quarterly,15.86,0,delayed,18.53,118.88,3,NA,1
22.72,annual,11.96,0,delayed,12.47,50.38,17,NA,0
15.85,monthly,11.66,3,on_time,,90.99,5,NA,0
24.28,annual,33.22,0,on_time,11.79,53.7,13,APAC,0
13.74,quarterly,19.37,1,failed,20.97,71.69,12,NA,0
18.0,monthly,28.98,2,on_time,12.55,85.17,8,LATAM,0
12.21,monthly,30.46,1,,15.14,57.2,12,LATAM,0
22.77,quarterly,25.48,2,chargeback,13.0,43.06,31,NA,0
11.05,annual,30.82,1,on_time,16.89,100.39,4,LATAM,1
15.64,monthly,22.16,1,,7.1,36.94,11,MEA,0
20.75,monthly,37.0,1,delayed,13.79,131.32,4,NA,1
23.34,monthly,31.06,3,on_time,21.58,61.16,45,MEA,0
10.25,monthly,32.52,4,delayed,9.5,99.86,8,NA,1
21.27,quarterly,11.68,2,on_time,,101.5,7,APAC,0
9.13,monthly,24.9,0,delayed,21.32,53.04,50,NA,0
1.0,quarterly,,5,failed,19.48,96.88,19,LATAM,0
,annual,37.41,0,failed,17.71,79.93,25,LATAM,0
21.84,quarterly,,1,on_time,17.33,101.68,2,MEA,1
15.91,quarterly,16.67,0,delayed,17.24,117.87,24,MEA,0
12.26,quarterly,6.96,4,failed,13.62,106.78,9,NA,0
16.39,annual,21.6,3,on_time,21.61,53.72,21,APAC,1
16.16,annual,19.05,2,on_time,,72.17,22,NA,0
20.35,monthly,42.05,2,on_time,9.03,60.93,3,NA,0
4.72,monthly,31.45,0,delayed,,67.88,4,NA,1
15.28,monthly,16.34,2,on_time,11.3,97.66,5,MEA,0
16.87,annual,3.67,2,on_time,11.22,90.85,22,APAC,0
6.44,quarterly,0.0,1,failed,10.73,100.3,4,NA,1
6.35,monthly,10.71,1,failed,7.95,92.06,3,MEA,1
13.45,monthly,7.36,2,chargeback,17.24,96.34,6,LATAM,1
16.06,monthly,25.83,1,on_time,9.32,71.27,2,NA,0
,quarterly,20.41,0,on_time,18.29,121.83,13,EU,1
12.11,monthly,22.19,4,on_time,19.33,102.71,8,APAC,1
11.82,monthly,11.56,3,on_time,30.44,83.41,6,APAC,0
13.23,annual,23.67,2,failed,12.27,103.98,30,EU,0
18.09,quarterly,6.38,1,on_time,14.04,69.58,13,EU,0
24.71,monthly,,1,on_time,10.52,87.35,15,NA,1
1.0,monthly,31.13,4,on_time,7.97,109.06,12,EU,0
20.36,annual,17.98,2,on_time,12.48,44.9,17,NA,0
15.22,quarterly,26.88,1,delayed,10.34,146.24,27,NA,0
19.68,quarterly,0.25,0,delayed,7.9,67.51,13,NA,0
24.3,monthly,0.0,2,on_time,16.42,71.33,20,APAC,0
10.71,monthly,25.6,1,on_time,8.57,84.56,13,EU,0
22.61,monthly,33.52,1,on_time,18.4,104.72,9,EU,0
7.22,quarterly,19.38,1,on_time,20.13,107.4,17,NA,0
16.89,monthly,45.6,1,failed,,125.98,34,MEA,1
,monthly,6.12,1,on_time,23.39,82.21,24,NA,0
16.32,quarterly,14.52,1,on_time,17.41,93.24,4,EU,0
9.08,annual,23.54,2,delayed,14.56,36.84,18,NA,1
19.06,quarterly,27.11,1,on_time,4.33,54.02,6,APAC,1
27.1,monthly,15.58,1,on_time,4.72,81.44,15,EU,0
9.2,monthly,10.35,0,on_time,24.44,94.02,3,EU,0
17.33,monthly,28.82,2,on_time,22.92,82.71,15,LATAM,0
21.99,monthly,23.47,4,on_time,24.6,98.68,7,APAC,0
13.92,monthly,18.21,3,delayed,26.14,82.41,14,EU,0
25.52,monthly,27.49,3,failed,23.25,77.45,10,EU,1
12.99,quarterly,20.5,2,on_time,16.43,151.21,11,MEA,0
15.19,annual,20.46,2,on_time,18.36,68.97,35,,0
9.05,annual,20.06,6,on_time,10.89,101.11,15,APAC,0
16.89,monthly,12.97,0,on_time,16.43,47.44,12,APAC,0
16.02,monthly,11.85,0,,19.47,87.45,30,LATAM,0
20.45,monthly,,0,on_time,19.59,65.11,25,MEA,0
11.55,monthly,22.35,0,on_time,14.25,139.44,7,NA,0
11.23,monthly,1.42,2,failed,2.82,68.39,33,MEA,0
